DC1-A;DC2-A;DC3-A;DC4-A;DC5-A;age;gender;academic_level
I364;-0.097138745;0;0;0;0;1;1;4
I365;0;-0.093730578;0;0;0;1;1;4
I366;-0.084901748;0;0;0;0;1;1;4
I367;0;0;-0.119422435;0;0;1;1;4
I368;0;0;0;-0.1404747;0;1;1;4
I369;0;0;0;-0.097649182;0;1;2;2
I370;-0.08491576;0;0;0;0;1;2;2
I371;0;0;-0.101365155;0;0;1;2;3
I372;0;0;0;-0.066131151;0;1;2;4
I373;0;0;0;0;0.074076292;1;2;4
I374;0;0;0.090377198;0;0;1;1;4
I375;0;0;0;0;0.077470698;1;1;4
I376;-0.100288418;0;0;0;0;1;1;4
I377;0;0;0;0;0.030170268;1;1;4
I378;0;0;0;0;-0.097144955;1;1;4
I379;0;0;0;0.031307828;0;1;1;4
I380;0;0;0;0;0.069545926;1;1;4
I381;0.137750893;0;0;0;0;1;1;3
I382;0;0;0.04389642;0;0;1;2;3
I383;0;0;0;0;0.038506768;1;2;3
I384;0;0;-0.113737633;0;0;1;1;3
I385;0;0;0;-0.104450317;0;1;2;2
I386;0;-0.035350581;0;0;0;1;1;4
I387;0;0;0;-0.062487958;0;1;2;4
I388;0;0;0;0;0.041266294;1;1;3
I389;0;0;0;0;0.093288315;1;1;4
I390;0;0;0;0;0.085021548;1;2;3
I391;0;0;0;0;0.074780978;1;2;4
I392;0;0;0;0.108405794;0;1;1;4
I393;0;0;-0.038485537;0;0;1;1;3
I394;0;0;0;-0.051141063;0;1;2;4
I395;0;0;0;0.0500347;0;1;2;4
I396;-0.087203278;0;0;0;0;1;1;4
I397;0;0;0;-0.120170574;0;1;1;3
I398;0.04181059;0;0;0;0;1;1;3
I399;0;0;0;0;0.043467607;1;2;5
I400;0;0;-0.083985335;0;0;1;2;4
I401;0;0.144807718;0;0;0;2;2;4
I402;0;0;0;0;-0.083073247;2;1;3
I403;-0.027005905;0;0;0;0;2;1;4
I404;0;-0.0569373;0;0;0;2;2;3
I405;0;0;0.05271728;0;0;2;2;3
I406;0;0;0.050693208;0;0;2;2;3
I407;-0.060877652;0;0;0;0;2;2;4
I408;0;0;-0.043607903;0;0;2;1;4
I409;0;0;-0.100747836;0;0;2;2;4
I410;0;0;0;-0.093219709;0;2;1;3
I411;0;0;0;0;-0.050615939;2;2;3
I412;0.103961861;0;0;0;0;2;2;4
I413;0;0;0.113355171;0;0;2;1;4
I414;0;-0.07494414;0;0;0;2;2;4
I415;0;-0.062321338;0;0;0;2;1;4
I416;0;0;0;0;-0.095042813;2;2;4
I417;0;0;0;0;-0.075390088;2;2;2
I418;0;0;0;-0.090275372;0;2;2;3
I419;0;0.051386362;0;0;0;2;2;4
I420;0;0;-0.091573683;0;0;2;1;4
I421;0;0;0;0;0.03987719;2;1;4
I422;0;0;0.080762217;0;0;2;1;3
I423;0;-0.038438653;0;0;0;2;2;4
I424;0;0;0;0;0.030145537;2;2;3
I425;-0.069337145;0;0;0;0;2;2;3
I426;0;0.122066374;0;0;0;2;2;3
I427;0;0;0.042872352;0;0;2;2;3
I428;0.10777342;0;0;0;0;2;2;4
I429;0;0;0;0;0.042786656;2;1;3
I430;0.105355493;0;0;0;0;2;2;4
I431;0;0;-0.114545069;0;0;2;2;4
I432;0.088673739;0;0;0;0;2;1;4
I433;0;0;0;0;-0.084440775;2;2;4
I434;0;0;0;-0.093219896;0;2;2;4
I435;0;-0.080445906;0;0;0;2;2;3
I436;0;0.02826723;0;0;0;2;2;3
I437;0;0;0.120704876;0;0;2;2;4
I438;0;-0.064637183;0;0;0;2;2;4
I439;0;0;0.063334878;0;0;2;1;3
I440;0.100448555;0;0;0;0;2;1;4
I441;0;0;-0.065766497;0;0;2;2;4
I442;0;0.025232956;0;0;0;2;2;3
I443;0.113165307;0;0;0;0;2;1;3
I444;0;0;0;0.065176282;0;2;1;3
I445;0.127842868;0;0;0;0;2;2;4
I446;-0.098141338;0;0;0;0;2;2;3
I447;0;-0.047061274;0;0;0;2;2;3
I448;0;0;0;0;0.091718712;2;2;4
I449;0;0.109106898;0;0;0;2;2;2
I450;0;0;0;-0.150522285;0;2;2;3
I451;0;0;0;-0.099981146;0;2;2;5
I452;0;0;0;0.100561022;0;2;2;4
I453;0.075791461;0;0;0;0;2;2;4
I454;0;0;0.033235894;0;0;2;2;3
I455;0.083980582;0;0;0;0;2;2;4
I456;0;-0.122392806;0;0;0;2;2;3
I457;0;0;-0.076810308;0;0;2;1;4
I458;0;0;0;-0.047563748;0;2;2;4
I459;0;0;0;0;0.152394789;2;2;3
I460;0;0;0;-0.146574656;0;2;2;5
I461;0;0;0;0;0.0427675;2;2;3
I462;0;0;-0.102792414;0;0;2;2;4
I463;0.011545193;0;0;0;0;2;1;5
I464;-0.043945162;0;0;0;0;2;2;3
I465;0;-0.09742165;0;0;0;2;2;3
I466;0;0;0;0;-0.095284454;2;1;4
I467;0;0.120771824;0;0;0;2;2;4
I468;0;0;0;-0.129993766;0;2;2;4
I469;0;0;0.122478285;0;0;2;2;4
I470;0.043347378;0;0;0;0;2;2;3
I471;0;0;0;0.106017538;0;2;2;5
I472;0;0;0.105662738;0;0;2;1;4
I473;-0.069727673;0;0;0;0;2;2;4
I474;0;0;0;0;-0.10508023;2;2;3
I475;0;0;0;0;0.022665034;2;1;3
I476;0;0.040751795;0;0;0;2;1;4
I477;0;0;0;0.085090149;0;2;2;3
I478;-0.085624842;0;0;0;0;2;1;4
I479;0;0;0;0.069145028;0;2;2;4
I480;0;0.012998469;0;0;0;2;2;4
I481;0;0.056376116;0;0;0;2;1;3
I482;0;0;0;-0.103223674;0;2;2;4
I483;0;0;0;-0.092053361;0;2;1;4
I484;0;0;0;0;-0.087008082;2;1;4
I485;0;0;0;0;0.045206827;2;2;4
I486;0;0;0;0;-0.03798766;2;2;3
I487;0;-0.02830649;0;0;0;2;2;4
I488;0;0;0;0;-0.120341053;2;1;3
I489;0;0;0;0;-0.029772776;2;1;3
I490;0;0;0;0;-0.085880175;2;1;4
I491;0;0;0;0;0.088029108;2;2;5
I492;-0.053009386;0;0;0;0;2;1;4
